Donation_Number,Item,Notes,Qty
1,"Paint, Gallon",,4
1,"Paint, Quart",,6
2,"Light, Recessed",,18
3,"Door, Bifold",,4
3,Miscellaneous Hardware,,
3,Miscellaneous Plumbing,,
4,See attached list,,
5,"Oven, Electric",JC Penney,
6,"Countertop, Marble",,
7,Door Knob,,1
7,Handicap Grab Bars,,3
7,Hinges,European,20
7,Trim,10ft pieces,3
8,"Paint, Gallon",,2
9,Stove Vent Unit,,
10,"Blinds, Vertical",,
10,Duct,,
10,"Fan, Bathroom",,
10,"Tubing, Flex",,
11,Carpet Pad,,
12,Door Knob,,4
12,Light ,,2
12,"Light, Kitchen",,1
12,Sink,,3
13,Cabinet,"3/4"" x 2' x 4' birch plywood",
13,Casing,8',
13,Door Stop,16' Douglas Fir,
13,Insulation,1.5 rolls,
13,Lumber,1x4x10' fir,
13,Lumber,"2""x2"" pine",1
13,Lumber,1x10x4' used Douglas Fir,
13,Rail,7' metal custom,
13,"Shelf, Decorative","8' 15""",
13,Window Stop,24' Douglas Fir,
14,Deadbolt/Lock Set,,
15,See attached list,,
16,Asphalt Patch,60# bag,2
16,Concrete Mix,Sakrete 80# bag,
16,Tubing,,
17,"Door, Bifold",Wood,
17,Gutter Parts,,
18,Blinds,,13
18,Hinges,,
18,Lumber,,
19,"Faucet, Bath",,1
19,"Faucet, Kitchen",,1
20,Books,,
20,Boxes,,
20,Electrical Fittings,,
21,Ceiling Fan,multiple,
21,Light ,multiple,
22,Foam Padding,,
22,Saw,,2
23,Fence Post,,
24,Toilet,,2
25,Chimney Cap,,
25,Heater,,
25,"Light, Porch",,
26,"Light, Chandelier",multiple,
27,"Light, Bathroom",new,1
27,Outlet Cover,new,10
27,Switch,new; multiple,10
28,Glass Block,multiple,
28,Pavers,I Brick; multiple,
28,"Pipe, ABS",,
28,Plywood,,
28,PVC Fittings,,
28,Stair Railing,multiple,
28,"Trim, Wood",,
28,Vent Pipe,,
29,Blinds,,
29,Furnance Filter,,
29,Light ,2 different kinds,
29,Sink,multiple,
29,Window Balance,multiple,
30,Heater,Hydronic Garage Unit,
31,Light Bulb,various sizes,
